client_id,first_name,last_name,email,phone,dob,program_name,admission_date,discharge_date,program_status,referral_source,receiving_services,support_workers,notes
CID100001,TestFirst--1,TestLast--1,test1@example.com,+916659094694,2024-01-27,Housing Support,2023-02-13,2024-08-22,pending,Self,no,"sunil iyer, Rita Kumar",Primary enrollment
CID100002,TestFirst--2,TestLast--2,test2@example.com,+919725813718,2025-04-15,Addiction Counselling,2025-03-26,2025-09-17,discharged,Hospital,yes,Asha Patel,Duplicate-case 1
CID100003,TestFirst--3,TestLast--3,test3@example.com,+916767769960,2025-07-30,Employment Assistance,2024-05-31,2023-05-11,active,Self,no,"Rita Kumar,Sunil Iyer",support workers lowercase
CID100004,TestFirst--4,TestLast--4,test4@example.com,+919723971562,2023-11-14,Family Support,2024-12-07,2025-07-21,pending,Self,yes,"Rita Kumar,Sunil Iyer",Duplicate-case 1
CID100005,TestFirst--5,TestLast--5,test5@example.com,+916836093084,2024-11-03,Counselling,2024-06-19,2023-09-03,pending,Agency A,no,"Rita Kumar, Sunil Iyer",Primary enrollment
CID100006,TestFirst--6,TestLast--6,test6@example.com,+916350989684,2024-04-27,Housing Support,2024-12-26,2024-09-02,discharged,Hospital,yes,Dr. Singh,Duplicate with status difference
CID100007,TestFirst--7,TestLast--7,test7@example.com,+917787650523,2024-10-25,Addiction Counselling,2025-03-05,2025-05-22,pending,Agency A,yes,Asha Patel,support workers lowercase
CID100008,TestFirst--8,TestLast--8,test8@example.com,+916222200758,2025-05-23,Employment Assistance,2025-09-16,2025-03-11,pending,Agency B,yes,"Rita Kumar,Sunil Iyer",Duplicate-case 2 - different referral_source
CID100009,TestFirst--9,TestLast--9,test9@example.com,+916919432558,2024-01-28,Family Support,2023-12-01,2025-06-15,active,School,yes,"sunil iyer, Rita Kumar",Duplicate-case 2 - different referral_source
CID100010,TestFirst--10,TestLast--10,test10@example.com,+919324544977,2025-06-19,Counselling,2024-02-14,2023-12-11,active,School,yes,Dr. Singh,support workers different order
CID100011,TestFirst--11,TestLast--11,test11@example.com,+916878104941,2025-01-08,Housing Support,2022-12-12,2024-06-08,active,Self,no,"Rita Kumar,Sunil Iyer",Duplicate-case 1
CID100012,TestFirst--12,TestLast--12,test12@example.com,+919376557109,2023-07-06,Addiction Counselling,2023-10-21,2025-09-26,active,Agency C,no,Rita Kumar,support workers different order
CID100013,TestFirst--13,TestLast--13,test13@example.com,+916357309247,2023-02-17,Employment Assistance,2023-10-18,2024-06-15,discharged,Hospital,no,"Rita Kumar,Sunil Iyer",Duplicate-case 1
CID100014,TestFirst--14,TestLast--14,test14@example.com,+916334112996,2024-02-15,Family Support,2024-12-07,2025-05-27,pending,Self,no,"Rita Kumar,Sunil Iyer",support workers lowercase
CID100015,TestFirst--15,TestLast--15,test15@example.com,+919038578872,2024-12-18,Counselling,2023-09-07,2024-07-15,pending,Hospital,yes,Rita Kumar,support workers different order
CID100016,TestFirst--16,TestLast--16,test16@example.com,+916931005615,2025-03-11,Housing Support,2023-07-23,2023-02-24,pending,Clinic,yes,Dr. Singh,Duplicate-case 2 - different referral_source
CID100017,TestFirst--17,TestLast--17,test17@example.com,+917828599143,2024-11-26,Addiction Counselling,2024-11-20,2024-11-16,discharged,Hospital,no,Anil Verma,Duplicate-case 2 - different referral_source
CID100018,TestFirst--18,TestLast--18,test18@example.com,+918576296160,2023-05-04,Employment Assistance,2023-05-15,2024-06-14,discharged,Hospital,no,Dr. Singh,Primary enrollment
CID100019,TestFirst--19,TestLast--19,test19@example.com,+919881096452,2025-06-27,Family Support,2023-06-15,2023-06-10,active,Agency A,no,Anil Verma,support workers different order
CID100020,TestFirst--20,TestLast--20,test20@example.com,+919974710024,2023-12-16,Counselling,2023-05-25,2025-11-03,discharged,Hospital,no,"Rita Kumar, Sunil Iyer",support workers lowercase
CID100021,TestFirst--21,TestLast--21,test21@example.com,+919115139866,2025-10-11,Housing Support,2025-05-24,2023-05-14,active,School,no,Rita Kumar,Duplicate-case 1
CID100022,TestFirst--22,TestLast--22,test22@example.com,+919827451397,2023-05-15,Addiction Counselling,2023-12-10,2023-04-21,discharged,Clinic,yes,Dr. Singh,Initial enrollment
CID100023,TestFirst--23,TestLast--23,test23@example.com,+916728571034,2023-12-20,Employment Assistance,2025-06-14,2024-04-08,active,Outreach,yes,Rita Kumar,Duplicate-case 1
CID100024,TestFirst--24,TestLast--24,test24@example.com,+919333261185,2023-06-03,Family Support,2025-03-29,2024-12-22,pending,Hospital,no,Anil Verma,Duplicate-case 1
CID100025,TestFirst--25,TestLast--25,test25@example.com,+919997671340,2024-03-01,Counselling,2023-05-29,2023-06-16,pending,Self,no,"Rita Kumar,Sunil Iyer",Initial enrollment
CID100026,TestFirst--26,TestLast--26,test26@example.com,+918239033255,2024-04-12,Housing Support,2023-01-31,2023-08-08,pending,Self,no,"Rita Kumar,Sunil Iyer",Duplicate-case 2 - different referral_source
CID100027,TestFirst--27,TestLast--27,test27@example.com,+918313209845,2025-04-06,Addiction Counselling,2023-06-03,2023-02-27,discharged,Clinic,no,Asha Patel,Duplicate with status difference
CID100028,TestFirst--28,TestLast--28,test28@example.com,+918621600522,2023-05-21,Employment Assistance,2025-02-23,2024-01-12,pending,School,no,Rita Kumar,Initial enrollment
CID100029,TestFirst--29,TestLast--29,test29@example.com,+917006250915,2024-09-02,Family Support,2025-06-30,2023-02-14,discharged,Outreach,yes,Dr. Singh,support workers different order
CID100030,TestFirst--30,TestLast--30,test30@example.com,+918180310215,2025-05-26,Counselling,2025-11-16,2024-07-25,discharged,School,no,Asha Patel,Duplicate with status difference
CID100031,TestFirst--31,TestLast--31,test31@example.com,+917224341653,2024-10-18,Housing Support,2025-05-20,2024-01-30,active,Agency B,no,Anil Verma,support workers lowercase
CID100032,TestFirst--32,TestLast--32,test32@example.com,+919546031519,2024-11-17,Addiction Counselling,2024-02-11,2023-12-10,active,School,no,"sunil iyer, Rita Kumar",Initial enrollment
CID100033,TestFirst--33,TestLast--33,test33@example.com,+917185477119,2025-01-30,Employment Assistance,2025-11-19,2024-09-27,pending,Clinic,yes,Anil Verma,support workers lowercase
CID100034,TestFirst--34,TestLast--34,test34@example.com,+919842422868,2023-04-09,Family Support,2023-02-13,2024-06-24,active,Hospital,yes,Asha Patel,Duplicate-case 2 - different referral_source
CID100035,TestFirst--35,TestLast--35,test35@example.com,+916635459469,2023-07-19,Counselling,2024-02-26,2024-08-06,active,Self,yes,"Rita Kumar, Sunil Iyer",Primary enrollment
CID100036,TestFirst--36,TestLast--36,test36@example.com,+919203763846,2024-07-04,Housing Support,2023-09-19,2024-06-28,active,Outreach,yes,Rita Kumar,Initial enrollment
CID100037,TestFirst--37,TestLast--37,test37@example.com,+917352270232,2022-12-05,Addiction Counselling,2025-05-24,2023-07-18,active,Agency C,yes,"Rita Kumar,Sunil Iyer",Duplicate with status difference
CID100038,TestFirst--38,TestLast--38,test38@example.com,+918905004807,2025-03-03,Employment Assistance,2024-10-18,2025-09-17,discharged,Self,no,Sonia Rao,Primary enrollment
CID100039,TestFirst--39,TestLast--39,test39@example.com,+916740910418,2023-01-25,Family Support,2024-08-12,2023-01-09,discharged,School,no,Asha Patel,Initial enrollment
CID100040,TestFirst--40,TestLast--40,test40@example.com,+918267071541,2024-08-04,Counselling,2023-09-21,2024-12-17,pending,Clinic,no,Sonia Rao,Initial enrollment
CID100041,TestFirst--41,TestLast--41,test41@example.com,+917949717216,2024-10-22,Housing Support,2024-05-13,2023-03-06,discharged,Clinic,yes,Rita Kumar,Duplicate with status difference
CID100042,TestFirst--42,TestLast--42,test42@example.com,+919186059849,2024-03-10,Addiction Counselling,2025-05-09,2024-01-09,active,Agency A,no,Sonia Rao,Duplicate-case 1
CID100043,TestFirst--43,TestLast--43,test43@example.com,+916675958664,2025-10-08,Employment Assistance,2025-10-08,2024-07-03,discharged,Hospital,no,"Rita Kumar,Sunil Iyer",support workers different order
