ID,Last Name,First Name,Program,DOB,Age,Gender,City,Sub-program,Worker,Level of Support,Admission Date,Days Elapsed,Location/County,Referral Source
CLI000001,Sanders,Margaret,Bridging Steps to Support,1965-10-18,60,Male,Toronto,,,,2025-06-30,150,Toronto,"Self,  Family or Friend"
CLI000002,Jones,Tyler,Somali Program,1964-01-01,61,Male,Toronto,,,,2023-04-27,945,Toronto,"Other institution (e.g. rehabilitation,  long term care) "
CLI000003,Morgan,Carol,ETS SSTEP,1995-01-13,30,Female,,,,,2022-03-31,1337,Toronto,Internal Source
CLI000004,Robinson,Kyle,Support within Housing,1988-04-19,37,Female,,,,,2011-03-08,5378,Toronto,"Other institution (e.g. rehabilitation,  long term care) "
CLI000005,Romero,Edward,Court Diversion - College Park,1988-04-19,37,Female,,,,,2013-06-24,4539,Toronto,"Other institution (e.g. rehabilitation,  long term care) "
CLI000006,Hill,Ethan,Bridging Steps to Support,1965-07-08,60,Male,Toronto,,,,2025-08-13,106,Toronto,"Self,  Family or Friend"
CLI000007,Ramos,Jennifer,ETS Employment and Training Services,1979-11-09,46,Male,,,,,2018-09-27,2618,Toronto,"Self,  Family or Friend"
CLI000008,Walker,Brenda,Dan Harrison DROP-IN,1989-11-29,35,Male,,,,,2019-12-18,2171,Toronto,"Self,  Family or Friend"
CLI000009,Russell,Debra,Bridging Steps to Support,1943-07-14,82,Female,Toronto,,,,2025-06-30,150,Toronto,"Self,  Family or Friend"
CLI000010,Jenkins,Frank,ETS LEARN,1976-01-30,49,Female,Toronto,,,,2025-01-20,311,Toronto,"Self,  Family or Friend"
CLI000011,Baker,Janet,ETS Employment and Training Services,1979-02-01,46,Male,,,,,2019-11-06,2213,Toronto,"Other institution (e.g. rehabilitation,  long term care) "
CLI000012,Phillips,Angela,ETS Employment and Training Services,1992-10-01,33,Male,,,,,2024-03-13,624,Toronto,"Self,  Family or Friend"
CLI000013,Ortiz,Amanda,ETS Employment and Training Services,1989-09-03,36,Female,,,,,2023-07-05,876,Toronto,"Self,  Family or Friend"
CLI000014,Ruiz,Jose,ETS Employment Ontario,1989-09-03,36,Female,,,,,2023-07-05,876,Toronto,Internal Source
CLI000015,Cooper,Samuel,HART Hub,1989-05-23,36,Female,,,,,2025-11-06,21,Toronto,"Self,  Family or Friend"
CLI000016,Coleman,John,Bridging Housing and Community Stabilization,1962-11-29,62,Male,,,,,2019-06-27,2345,Toronto,"Self,  Family or Friend"
CLI000017,Castillo,Donna,CSS East - Short Term (Access Point),1996-01-28,29,Male,Scarborough,,,,2025-01-28,303,Toronto,The Access Point
CLI000018,Gutierrez,Megan,Bridging Enhanced Housing Support Program,1979-09-30,46,Male,Toronto,,,Medium,2025-04-07,234,Toronto,External Source
CLI000019,Wilson,William,Community Advocacy Program,1953-06-05,72,Do not know,,,,,2023-11-03,755,Toronto,"Self,  Family or Friend"
CLI000020,Rodriguez,Emma,Bridging Steps to Support,1952-06-06,73,Female,Toronto,,,Medium,2025-06-30,150,Toronto,"Self,  Family or Friend"
CLI000021,Richardson,Carolyn,Community Advocacy Program,1984-12-07,40,Female,Toronto,,,,2025-07-02,148,Toronto,"Self,  Family or Friend"
CLI000022,Cooper,Kevin,CSS East,1997-07-05,28,Male,Scarborough,,,,2024-11-05,387,Toronto,The Access Point
CLI000023,Ortiz,Michelle,ETS Unassisted Services,1900-01-01,125,Female,,,,,2018-05-16,2752,Toronto,"Self,  Family or Friend"
CLI000024,Gomez,Jack,ETS Employment and Training Services,1971-01-13,54,Male,,,,,2018-08-21,2655,Toronto,"Self,  Family or Friend"
